Name,Age,Occupation,Annual Income (INR),Credit Score (300-850),Lender,Loan Purpose,Approved Loan Amount (INR),Months of Payment,Interest Rate (%),Monthly EMI (INR),DTI Ratio,Loan Status (Pass/Rejected)
Person 2981,30,High School Teacher,384937,587,HDFC Bank,Medical Emergency,494018,12,20.05,45775,1.427,Rejected
Person 2982,33,Doctor,831855,618,Bajaj Finserv,Debt Consolidation,1155623,72,28.31,33517,0.483,Rejected
Person 2983,66,Retired (Pension),175116,580,State Bank of India,Wedding Expenses,517174,24,16.87,25538,1.75,Rejected
Person 2984,24,University Student,78142,633,HDFC Bank,Vehicle Purchase,810810,48,22.15,25612,3.933,Rejected
Person 2985,39,Freelance Designer,497287,635,HDFC Bank,Home Renovation,774410,48,22.48,24601,0.594,Rejected
Person 2986,47,CEO,44816880,645,ICICI Bank,Travel/Vacation,655478,18,15.54,41059,0.011,Rejected
Person 2987,25,Software Engineer,1485110,735,Axis Bank,Debt Consolidation,542852,48,16.54,15535,0.126,Pass
Person 2988,45,Freelance Designer,710245,622,HDFC Bank,Home Renovation,658361,48,20.67,20270,0.342,Rejected
Person 2989,84,Retired (Pension),136593,690,Kotak Mahindra Bank,Wedding Expenses,922804,48,14.04,25236,2.217,Rejected
Person 2990,21,University Student,43112,643,Kotak Mahindra Bank,Vehicle Purchase,767382,48,20.35,23495,6.54,Rejected
Person 2991,30,Software Engineer,2105946,615,HDFC Bank,Debt Consolidation,1313117,72,19.26,30892,0.176,Rejected
Person 2992,18,University Student,89010,622,ICICI Bank,Vehicle Purchase,1031104,60,18.98,26736,3.604,Rejected
Person 2993,43,Freelance Designer,373826,626,ICICI Bank,Home Renovation,1115708,60,16.4,27370,0.879,Rejected
Person 2994,35,Retail Manager,1642977,646,State Bank of India,Medical Emergency,365716,12,16.78,33317,0.243,Rejected
Person 2995,36,Software Engineer,750269,572,Bajaj Finserv,Debt Consolidation,0,48,23.19,0,0.0,Rejected
Person 2996,21,University Student,0,542,Bajaj Finserv,Vehicle Purchase,0,36,34.7,0,0.0,Rejected
Person 2997,44,Software Engineer,1482307,669,Bajaj Finserv,Debt Consolidation,927760,72,20.74,22622,0.183,Rejected
Person 2998,45,Retail Manager,1754948,683,Axis Bank,Medical Emergency,1098770,36,17.04,39196,0.268,Rejected
Person 2999,46,Retail Manager,1729274,674,ICICI Bank,Medical Emergency,810900,24,8.55,36879,0.256,Rejected
Person 3000,21,University Student,32203,639,State Bank of India,Vehicle Purchase,532131,36,16.38,18808,7.009,Rejected
Person 3001,42,Construction Worker,420768,676,Kotak Mahindra Bank,Education (Tuition/Fees),1330687,84,12.19,23626,0.674,Rejected
Person 3002,23,University Student,132393,672,Bajaj Finserv,Wedding Expenses,616464,36,15.85,21627,1.96,Rejected
Person 3003,45,Retail Manager,2113526,677,Kotak Mahindra Bank,Medical Emergency,571594,24,12.64,27078,0.154,Rejected
Person 3004,33,Construction Worker,427157,578,Kotak Mahindra Bank,Education (Tuition/Fees),0,48,35.0,0,0.0,Rejected
Person 3005,31,Freelance Designer,374252,564,HDFC Bank,Home Renovation,0,36,29.63,0,0.0,Rejected
Person 3006,23,University Student,53416,606,Axis Bank,Vehicle Purchase,784501,48,17.72,22930,5.151,Rejected
Person 3007,23,University Student,56315,628,State Bank of India,Consumer Durable/Tech,709718,24,22.93,37146,7.915,Rejected
Person 3008,31,Software Engineer,1766822,615,Axis Bank,Debt Consolidation,1179679,72,23.89,30978,0.21,Rejected
Person 3009,24,Construction Worker,272325,517,HDFC Bank,Education (Tuition/Fees),0,48,28.32,0,0.0,Rejected
Person 3010,38,Software Engineer,920768,733,State Bank of India,Debt Consolidation,597543,60,15.3,14310,0.186,Pass
Person 3011,45,Freelance Designer,903811,613,State Bank of India,Home Renovation,586191,48,18.07,17241,0.229,Rejected
Person 3012,31,Retail Manager,2117994,640,ICICI Bank,Medical Emergency,553574,12,18.38,50852,0.288,Rejected
Person 3013,37,Retail Manager,1817688,704,Axis Bank,Medical Emergency,704402,24,15.83,34433,0.227,Pass
Person 3014,37,Retail Manager,1938321,489,Axis Bank,Medical Emergency,0,12,35.0,0,0.0,Rejected
Person 3015,43,Construction Worker,291894,599,ICICI Bank,Education (Tuition/Fees),522940,60,14.45,12290,0.505,Rejected
Person 3016,31,Retail Manager,1805625,651,Kotak Mahindra Bank,Medical Emergency,890368,36,12.41,29748,0.198,Rejected
Person 3017,84,Retired (Pension),191587,706,HDFC Bank,Wedding Expenses,687103,36,11.86,22776,1.427,Rejected
Person 3018,37,High School Teacher,935278,729,Axis Bank,Medical Emergency,578352,24,10.18,26736,0.343,Pass
Person 3019,30,Software Engineer,3237332,735,ICICI Bank,Debt Consolidation,952807,72,14.46,19869,0.074,Pass
Person 3020,21,University Student,165297,676,State Bank of India,Wedding Expenses,1080569,48,13.23,29112,2.113,Rejected
Person 3021,30,Retail Manager,1415532,724,Bajaj Finserv,Medical Emergency,739090,24,12.17,34850,0.295,Pass
Person 3022,37,High School Teacher,410898,653,ICICI Bank,Medical Emergency,1494399,36,24.21,58794,1.717,Rejected
Person 3023,25,Construction Worker,505315,647,Bajaj Finserv,Education (Tuition/Fees),1609276,84,19.54,35292,0.838,Rejected
Person 3024,45,Retail Manager,1902625,644,Kotak Mahindra Bank,Medical Emergency,865951,36,14.47,29794,0.188,Rejected
Person 3025,35,Software Engineer,1117203,701,HDFC Bank,Debt Consolidation,684039,60,11.94,15195,0.163,Rejected
Person 3026,41,Retail Manager,1042201,641,Bajaj Finserv,Medical Emergency,813243,24,18.38,40750,0.469,Rejected
Person 3027,19,University Student,0,678,Kotak Mahindra Bank,Consumer Durable/Tech,526094,12,12.51,46868,46868.424,Rejected
Person 3028,47,Construction Worker,396044,745,Bajaj Finserv,Education (Tuition/Fees),594660,60,8.38,12166,0.369,Pass
Person 3029,32,Construction Worker,468150,648,State Bank of India,Education (Tuition/Fees),411667,48,16.72,11819,0.303,Rejected
Person 3030,46,Construction Worker,402831,674,State Bank of India,Education (Tuition/Fees),647098,60,12.2,14460,0.431,Pass
Person 3031,28,Software Engineer,1264450,703,State Bank of India,Debt Consolidation,524652,48,16.34,14960,0.142,Rejected
Person 3032,42,High School Teacher,369329,712,State Bank of India,Medical Emergency,999750,36,13.85,34096,1.108,Rejected
Person 3033,18,University Student,89821,675,ICICI Bank,Wedding Expenses,620519,36,13.27,20989,2.804,Rejected
Person 3034,31,Software Engineer,1017353,739,State Bank of India,Debt Consolidation,886134,72,14.73,18608,0.219,Pass
Person 3035,27,Retail Manager,2021556,729,State Bank of India,Medical Emergency,1043718,36,12.44,34886,0.207,Pass
Person 3036,36,Retail Manager,1122190,756,ICICI Bank,Medical Emergency,1209052,36,3.72,35546,0.38,Pass
Person 3037,42,High School Teacher,827462,695,State Bank of India,Medical Emergency,711970,24,16.92,35174,0.51,Rejected
Person 3038,55,CEO,42063904,674,Kotak Mahindra Bank,Travel/Vacation,896675,24,16.17,43977,0.013,Rejected
Person 3039,44,Software Engineer,3238784,665,Kotak Mahindra Bank,Debt Consolidation,906586,72,23.32,23495,0.087,Rejected
Person 3040,45,Freelance Designer,355361,715,Axis Bank,Home Renovation,1252120,60,14.14,29226,0.987,Rejected
Person 3041,39,Software Engineer,2242324,681,Kotak Mahindra Bank,Debt Consolidation,1056693,72,10.3,19736,0.106,Rejected
Person 3042,60,CEO,44110300,671,HDFC Bank,Travel/Vacation,1265725,24,11.43,59246,0.016,Rejected
Person 3043,31,Software Engineer,1050726,677,HDFC Bank,Debt Consolidation,451491,48,11.8,11845,0.135,Rejected
Person 3044,34,High School Teacher,667710,665,HDFC Bank,Medical Emergency,639079,24,27.03,34763,0.625,Rejected
Person 3045,71,Retired (Pension),203418,709,ICICI Bank,Wedding Expenses,1151838,48,10.31,29385,1.733,Rejected
Person 3046,83,Retired (Pension),112676,629,Kotak Mahindra Bank,Wedding Expenses,887936,48,18.9,26503,2.823,Rejected
Person 3047,38,High School Teacher,412414,715,HDFC Bank,Medical Emergency,770715,24,16.19,37807,1.1,Rejected
Person 3048,46,Retail Manager,1714321,733,Axis Bank,Medical Emergency,682778,24,13.48,32615,0.228,Pass
Person 3049,26,Retail Manager,1261938,670,ICICI Bank,Medical Emergency,1058585,36,15.1,36748,0.349,Rejected
Person 3050,47,Retail Manager,1821355,796,Axis Bank,Medical Emergency,404729,12,7.11,35040,0.231,Pass
Person 3051,50,Doctor,3373297,700,Kotak Mahindra Bank,Debt Consolidation,1059846,72,17.69,23987,0.085,Rejected
Person 3052,42,High School Teacher,643324,621,State Bank of India,Home Renovation,812432,48,19.97,24710,0.461,Rejected
Person 3053,26,Retail Manager,1586429,685,Axis Bank,Medical Emergency,679264,24,12.81,32233,0.244,Rejected
Person 3054,24,Retail Manager,962097,703,State Bank of India,Medical Emergency,958394,36,9.07,30508,0.381,Pass
Person 3055,44,Construction Worker,402975,722,ICICI Bank,Education (Tuition/Fees),703951,72,11.63,13627,0.406,Pass
Person 3056,49,CEO,49483964,687,Axis Bank,Travel/Vacation,813062,18,14.39,50490,0.012,Rejected
Person 3057,45,Construction Worker,493828,649,Axis Bank,Education (Tuition/Fees),729089,72,13.11,14678,0.357,Rejected
Person 3058,41,Software Engineer,2684985,645,Bajaj Finserv,Debt Consolidation,1007949,72,21.51,25034,0.112,Rejected
Person 3059,43,Software Engineer,1960558,667,ICICI Bank,Debt Consolidation,850724,60,17.27,21266,0.13,Rejected
Person 3060,63,CEO,38773059,672,ICICI Bank,Travel/Vacation,414730,12,12.94,37031,0.011,Rejected
Person 3061,46,Retail Manager,1768279,643,HDFC Bank,Medical Emergency,465907,12,17.59,42623,0.289,Rejected
Person 3062,36,Software Engineer,2005802,663,Kotak Mahindra Bank,Debt Consolidation,552403,48,26.12,18663,0.112,Rejected
Person 3063,46,Freelance Designer,899893,732,Axis Bank,Home Renovation,943257,60,11.33,20664,0.276,Pass
Person 3064,30,Construction Worker,348395,782,Axis Bank,Education (Tuition/Fees),976684,84,6.33,14423,0.497,Pass
Person 3065,22,Construction Worker,409612,737,ICICI Bank,Education (Tuition/Fees),1437816,84,9.57,23551,0.69,Rejected
Person 3066,39,Retail Manager,1368831,765,ICICI Bank,Medical Emergency,565918,12,7.17,49011,0.43,Pass
Person 3067,28,Software Engineer,1524418,748,Kotak Mahindra Bank,Debt Consolidation,1268338,72,11.84,24691,0.194,Pass
Person 3068,54,CEO,36231319,741,ICICI Bank,Travel/Vacation,410676,12,9.0,35914,0.012,Pass
Person 3069,46,Retail Manager,1952458,683,State Bank of India,Medical Emergency,809909,24,4.54,35365,0.217,Rejected
Person 3070,28,Construction Worker,353772,707,State Bank of India,Education (Tuition/Fees),876493,72,14.86,18467,0.626,Rejected
Person 3071,81,Retired (Pension),216582,678,Bajaj Finserv,Wedding Expenses,875412,48,10.48,22405,1.241,Rejected
Person 3072,44,Construction Worker,356550,689,State Bank of India,Education (Tuition/Fees),722872,72,11.87,14083,0.474,Pass
Person 3073,22,Retail Manager,1600530,703,State Bank of India,Medical Emergency,838561,24,9.95,38676,0.29,Pass
Person 3074,38,Retail Manager,1758168,735,Kotak Mahindra Bank,Medical Emergency,524112,12,10.25,46139,0.315,Pass
Person 3075,45,Freelance Designer,838777,721,Axis Bank,Home Renovation,1087056,60,10.83,23543,0.337,Pass
Person 3076,22,University Student,133199,691,State Bank of India,Vehicle Purchase,877934,60,15.14,20951,1.887,Rejected
Person 3077,22,University Student,33757,702,Bajaj Finserv,Consumer Durable/Tech,912893,36,17.95,32980,11.724,Rejected
Person 3078,26,Software Engineer,1200467,721,ICICI Bank,Debt Consolidation,730621,60,11.53,16079,0.161,Pass
Person 3079,35,Software Engineer,2070212,733,State Bank of India,Debt Consolidation,718277,60,11.09,15649,0.091,Pass
Person 3080,18,University Student,92981,624,Bajaj Finserv,Consumer Durable/Tech,944338,36,23.26,36683,4.734,Rejected
Person 3081,66,Retired (Pension),147642,646,Kotak Mahindra Bank,Wedding Expenses,1275095,48,28.65,44915,3.651,Rejected
Person 3082,23,University Student,899,755,ICICI Bank,Consumer Durable/Tech,496091,12,6.35,42777,570.989,Rejected
Person 3083,46,Doctor,2580048,696,Bajaj Finserv,Debt Consolidation,487441,48,18.32,14400,0.067,Rejected
Person 3084,38,Freelance Designer,182257,678,State Bank of India,Home Renovation,882890,60,9.99,18754,1.235,Rejected
Person 3085,61,Retired (Pension),285551,686,Axis Bank,Wedding Expenses,717196,36,13.44,24317,1.022,Rejected
Person 3086,27,Construction Worker,369082,686,ICICI Bank,Education (Tuition/Fees),840363,72,12.79,16777,0.545,Pass
Person 3087,38,High School Teacher,394849,727,ICICI Bank,Medical Emergency,798286,24,11.02,37214,1.131,Rejected
Person 3088,30,Software Engineer,1363930,644,Axis Bank,Debt Consolidation,907938,72,26.67,25396,0.223,Rejected
Person 3089,23,Freelance Designer,496730,701,ICICI Bank,Home Renovation,728819,48,13.64,19785,0.478,Pass
Person 3090,22,Retail Manager,1216972,712,State Bank of India,Medical Emergency,529067,12,14.66,47668,0.47,Rejected
Person 3091,34,High School Teacher,820164,719,ICICI Bank,Home Renovation,611869,48,10.86,15773,0.231,Pass
Person 3092,49,CEO,35552427,711,State Bank of India,Travel/Vacation,761345,18,17.16,48274,0.016,Rejected
Person 3093,23,Retail Manager,1364267,725,Axis Bank,Medical Emergency,520598,12,10.05,45781,0.403,Pass
Person 3094,23,University Student,15663,671,HDFC Bank,Vehicle Purchase,794682,48,18.21,23431,17.951,Rejected
Person 3095,40,Software Engineer,3253404,652,Axis Bank,Debt Consolidation,822072,60,20.75,22124,0.082,Rejected
Person 3096,46,Construction Worker,422213,822,State Bank of India,Education (Tuition/Fees),710889,72,2.36,10599,0.301,Pass
Person 3097,46,CEO,35920948,684,Kotak Mahindra Bank,Travel/Vacation,865591,18,10.43,52156,0.017,Rejected
Person 3098,34,Software Engineer,784567,690,Axis Bank,Debt Consolidation,459510,48,22.48,14597,0.223,Rejected
Person 3099,26,Software Engineer,3028925,733,Kotak Mahindra Bank,Debt Consolidation,578082,48,18.02,16987,0.067,Pass
Person 3100,40,High School Teacher,812274,779,Kotak Mahindra Bank,Medical Emergency,541231,12,9.0,47331,0.699,Rejected
Person 3101,40,Software Engineer,1710944,672,State Bank of India,Debt Consolidation,1092643,72,15.85,23611,0.166,Rejected
Person 3102,78,Retired (Pension),226198,650,State Bank of India,Wedding Expenses,1793080,48,17.11,51842,2.75,Rejected
Person 3103,22,University Student,69248,637,HDFC Bank,Consumer Durable/Tech,533572,12,16.97,48657,8.432,Rejected
Person 3104,31,High School Teacher,706401,779,Bajaj Finserv,Medical Emergency,741793,24,7.71,33451,0.568,Rejected
Person 3105,43,Retail Manager,1416544,648,ICICI Bank,Medical Emergency,605742,24,16.72,29868,0.253,Rejected
Person 3106,36,High School Teacher,672332,698,Axis Bank,Medical Emergency,869195,36,13.52,29505,0.527,Rejected
Person 3107,83,Retired (Pension),180005,651,State Bank of India,Wedding Expenses,651603,36,16.7,23134,1.542,Rejected
Person 3108,39,Software Engineer,2039268,627,Axis Bank,Debt Consolidation,820901,60,26.82,24978,0.147,Rejected
Person 3109,29,Freelance Designer,1058232,685,Bajaj Finserv,Home Renovation,1014075,60,10.86,21978,0.249,Pass
Person 3110,27,Construction Worker,352125,653,Bajaj Finserv,Education (Tuition/Fees),526184,60,16.07,12815,0.437,Pass
Person 3111,49,Construction Worker,525575,665,Kotak Mahindra Bank,Education (Tuition/Fees),884512,72,11.31,16977,0.388,Pass
Person 3112,39,Doctor,1052678,800,ICICI Bank,Debt Consolidation,431669,48,8.21,10581,0.121,Pass
Person 3113,62,Retired (Pension),162741,721,HDFC Bank,Wedding Expenses,736297,36,12.27,24551,1.81,Rejected
Person 3114,43,Software Engineer,2466526,746,Axis Bank,Debt Consolidation,719358,60,10.25,15373,0.075,Pass
Person 3115,41,Software Engineer,1295800,741,ICICI Bank,Debt Consolidation,743325,60,12.89,16871,0.156,Pass
Person 3116,24,University Student,89928,694,HDFC Bank,Vehicle Purchase,722242,48,12.4,19162,2.557,Rejected
Person 3117,80,Retired (Pension),194751,678,Axis Bank,Wedding Expenses,677822,36,13.69,23064,1.421,Rejected
Person 3118,44,Software Engineer,2491398,712,ICICI Bank,Debt Consolidation,733955,60,17.12,18288,0.088,Rejected
Person 3119,33,Doctor,2781016,708,State Bank of India,Debt Consolidation,874330,72,16.73,19319,0.083,Rejected
Person 3120,43,Doctor,1567855,671,Axis Bank,Debt Consolidation,882890,72,11.59,17073,0.131,Rejected
Person 3121,41,Retail Manager,1942680,706,ICICI Bank,Medical Emergency,837840,24,15.15,40684,0.251,Pass
Person 3122,51,Doctor,2352773,664,Bajaj Finserv,Debt Consolidation,659532,60,16.5,16214,0.083,Rejected
Person 3123,39,Software Engineer,0,691,HDFC Bank,Debt Consolidation,1171390,72,10.94,22260,22260.348,Rejected
Person 3124,32,High School Teacher,952237,683,ICICI Bank,Home Renovation,1367177,60,9.34,28606,0.36,Pass
Person 3125,80,Retired (Pension),230639,636,State Bank of India,Wedding Expenses,498884,24,28.67,27554,1.434,Rejected
Person 3126,36,Construction Worker,310539,582,Axis Bank,Education (Tuition/Fees),810089,72,18.65,18775,0.726,Rejected
Person 3127,43,Construction Worker,381312,653,Axis Bank,Education (Tuition/Fees),684129,60,19.52,17943,0.565,Rejected
Person 3128,44,Software Engineer,1224008,790,Axis Bank,Debt Consolidation,1110122,72,14.89,23407,0.229,Pass
Person 3129,58,CEO,39614491,684,State Bank of India,Travel/Vacation,801440,18,17.09,50790,0.015,Rejected
Person 3130,20,University Student,106046,738,HDFC Bank,Vehicle Purchase,819910,48,11.75,21491,2.432,Rejected
Person 3131,22,University Student,128481,593,Axis Bank,Vehicle Purchase,904514,60,18.17,23052,2.153,Rejected
Person 3132,18,University Student,46627,649,HDFC Bank,Vehicle Purchase,681606,48,14.68,18859,4.854,Rejected
Person 3133,19,University Student,109680,632,ICICI Bank,Consumer Durable/Tech,1326993,36,25.53,53134,5.813,Rejected
Person 3134,49,Freelance Designer,405650,689,Bajaj Finserv,Home Renovation,960826,60,14.24,22476,0.665,Rejected
Person 3135,46,Doctor,1984732,821,Bajaj Finserv,Debt Consolidation,1112465,72,7.42,19192,0.116,Pass
Person 3136,23,Construction Worker,356026,723,HDFC Bank,Education (Tuition/Fees),745578,72,11.19,14264,0.481,Pass
Person 3137,84,Retired (Pension),198725,784,HDFC Bank,Wedding Expenses,771346,36,9.97,24878,1.502,Rejected
Person 3138,83,Retired (Pension),189142,687,Bajaj Finserv,Wedding Expenses,1067054,48,14.26,29298,1.859,Rejected
Person 3139,24,Freelance Designer,560678,768,Axis Bank,Home Renovation,1030474,60,6.67,20245,0.433,Pass
Person 3140,32,Software Engineer,1060749,803,Kotak Mahindra Bank,Debt Consolidation,521679,48,7.99,12733,0.144,Pass
Person 3141,33,Retail Manager,2270950,694,Kotak Mahindra Bank,Medical Emergency,841444,24,13.67,40269,0.213,Rejected
Person 3142,18,University Student,32884,673,State Bank of India,Consumer Durable/Tech,948933,36,15.37,33067,12.067,Rejected
Person 3143,31,Freelance Designer,838618,634,Bajaj Finserv,Home Renovation,696383,48,17.54,20289,0.29,Rejected
Person 3144,41,Freelance Designer,935017,684,Bajaj Finserv,Home Renovation,918119,60,11.1,20008,0.257,Pass
Person 3145,24,Retail Manager,1277931,704,State Bank of India,Medical Emergency,780716,24,10.03,36037,0.338,Pass
Person 3146,27,Retail Manager,2030739,801,Kotak Mahindra Bank,Medical Emergency,368869,12,4.94,31568,0.187,Pass
Person 3147,24,University Student,95104,635,ICICI Bank,Consumer Durable/Tech,477530,12,22.42,44791,5.652,Rejected
Person 3148,41,Construction Worker,544697,702,Axis Bank,Education (Tuition/Fees),1129313,84,6.32,16671,0.367,Pass
Person 3149,24,University Student,60374,609,Axis Bank,Wedding Expenses,671335,36,20.66,25176,5.004,Rejected
Person 3150,42,High School Teacher,599937,678,ICICI Bank,Home Renovation,859734,48,8.17,21057,0.421,Pass
Person 3151,32,Construction Worker,419655,715,ICICI Bank,Education (Tuition/Fees),803962,72,8.52,14301,0.409,Pass
Person 3152,48,Doctor,653643,725,Kotak Mahindra Bank,Debt Consolidation,604301,60,18.11,15381,0.282,Pass
Person 3153,64,Retired (Pension),202918,729,State Bank of India,Wedding Expenses,684400,36,15.46,23879,1.412,Rejected
Person 3154,43,High School Teacher,363625,719,ICICI Bank,Medical Emergency,902352,36,15.77,31622,1.044,Rejected
Person 3155,35,High School Teacher,689894,729,State Bank of India,Medical Emergency,934878,36,15.53,32651,0.568,Rejected
Person 3156,45,Construction Worker,503184,702,HDFC Bank,Education (Tuition/Fees),1721270,84,5.25,24531,0.585,Rejected
Person 3157,21,University Student,72283,647,Axis Bank,Consumer Durable/Tech,663046,24,17.04,32795,5.444,Rejected
Person 3158,34,Software Engineer,797195,607,Kotak Mahindra Bank,Debt Consolidation,1389522,72,13.12,27981,0.421,Rejected
Person 3159,21,University Student,71175,672,Axis Bank,Vehicle Purchase,597003,36,10.06,19280,3.251,Rejected
Person 3160,49,Retail Manager,732129,693,Kotak Mahindra Bank,Medical Emergency,953799,36,14.26,32719,0.536,Rejected
Person 3161,33,High School Teacher,1017209,762,HDFC Bank,Medical Emergency,856220,24,11.02,39915,0.471,Rejected
Person 3162,28,Software Engineer,1628036,694,Axis Bank,Debt Consolidation,770535,60,12.0,17140,0.126,Rejected
Person 3163,26,Retail Manager,1122324,690,HDFC Bank,Medical Emergency,803332,24,8.87,36652,0.392,Rejected
Person 3164,42,Freelance Designer,624538,719,Kotak Mahindra Bank,Home Renovation,648450,48,9.02,16143,0.31,Pass
Person 3165,32,Software Engineer,2108599,686,ICICI Bank,Debt Consolidation,1101833,72,16.51,24211,0.138,Rejected
Person 3166,33,High School Teacher,397048,740,Axis Bank,Home Renovation,600697,48,10.3,15322,0.463,Pass
Person 3167,24,University Student,0,798,HDFC Bank,Consumer Durable/Tech,898748,36,6.68,27619,27619.423,Rejected
Person 3168,39,Software Engineer,2362127,809,Bajaj Finserv,Debt Consolidation,1046602,72,9.71,19236,0.098,Pass
Person 3169,23,University Student,0,704,Axis Bank,Wedding Expenses,1301765,48,14.59,35959,35959.122,Rejected
Person 3170,32,High School Teacher,527707,716,Axis Bank,Medical Emergency,1128052,36,9.54,36156,0.822,Rejected
Person 3171,39,Construction Worker,251443,778,Axis Bank,Education (Tuition/Fees),982000,84,5.74,14224,0.679,Rejected
Person 3172,31,Retail Manager,1216488,692,State Bank of India,Medical Emergency,645026,24,6.88,28844,0.285,Rejected
Person 3173,44,Software Engineer,1992701,733,HDFC Bank,Debt Consolidation,612680,60,18.88,15853,0.095,Pass
Person 3174,30,Software Engineer,1267445,643,HDFC Bank,Debt Consolidation,514651,48,24.19,16833,0.159,Rejected
Person 3175,36,Software Engineer,2095213,684,Axis Bank,Debt Consolidation,524292,48,15.74,14789,0.085,Rejected
Person 3176,26,Software Engineer,1899428,757,ICICI Bank,Debt Consolidation,804593,60,12.02,17906,0.113,Pass
Person 3177,28,Construction Worker,426705,664,Axis Bank,Education (Tuition/Fees),625204,60,22.48,17439,0.49,Pass
Person 3178,20,University Student,55127,693,State Bank of India,Consumer Durable/Tech,1220765,36,14.81,42205,9.187,Rejected
Person 3179,22,University Student,0,621,Kotak Mahindra Bank,Vehicle Purchase,616284,48,21.79,19346,19346.499,Rejected
Person 3180,24,Construction Worker,488963,800,State Bank of India,Education (Tuition/Fees),831713,72,1.66,12144,0.298,Pass
Person 3181,42,Software Engineer,2548844,763,ICICI Bank,Debt Consolidation,734225,60,10.68,15847,0.075,Pass
Person 3182,32,Retail Manager,1058996,709,Axis Bank,Medical Emergency,494289,12,11.19,43730,0.496,Rejected
Person 3183,29,Retail Manager,966564,725,HDFC Bank,Medical Emergency,1175174,36,13.61,39942,0.496,Rejected
Person 3184,35,Doctor,856450,719,Bajaj Finserv,Debt Consolidation,1024887,72,14.26,21262,0.298,Rejected
Person 3185,22,Freelance Designer,520746,769,Axis Bank,Home Renovation,1066604,60,4.83,20045,0.462,Pass
Person 3186,49,Freelance Designer,1126710,674,ICICI Bank,Home Renovation,989658,60,13.23,22634,0.241,Pass
Person 3187,22,Retail Manager,1765199,736,HDFC Bank,Medical Emergency,618356,24,15.2,30041,0.204,Pass
Person 3188,44,Retail Manager,1514372,753,State Bank of India,Medical Emergency,622501,24,12.23,29370,0.233,Pass
Person 3189,22,University Student,91560,760,Kotak Mahindra Bank,Vehicle Purchase,941725,60,10.6,20288,2.659,Rejected
Person 3190,21,University Student,93577,587,Kotak Mahindra Bank,Wedding Expenses,1287980,48,20.51,39545,5.071,Rejected
Person 3191,37,Retail Manager,1751762,670,Axis Bank,Medical Emergency,920372,36,8.43,29024,0.199,Rejected
Person 3192,20,University Student,66358,649,State Bank of India,Consumer Durable/Tech,1059576,36,22.75,40878,7.392,Rejected
Person 3193,49,CEO,41705759,707,Bajaj Finserv,Travel/Vacation,670614,18,18.48,42943,0.012,Rejected
Person 3194,25,Retail Manager,1876189,599,Bajaj Finserv,Medical Emergency,1131025,36,21.37,42827,0.274,Rejected
Person 3195,27,Retail Manager,1706246,597,ICICI Bank,Medical Emergency,633223,24,23.33,33268,0.234,Rejected
Person 3196,35,Freelance Designer,1221669,808,Kotak Mahindra Bank,Home Renovation,874961,60,2.3,15451,0.152,Pass
Person 3197,23,University Student,0,730,State Bank of India,Consumer Durable/Tech,708817,24,13.84,33979,33978.796,Rejected
Person 3198,20,University Student,119006,706,Axis Bank,Vehicle Purchase,1096157,60,9.33,22930,2.312,Rejected
Person 3199,33,Software Engineer,2421549,718,HDFC Bank,Debt Consolidation,1101382,72,20.9,26959,0.134,Rejected
Person 3200,33,Retail Manager,1863105,707,Axis Bank,Medical Emergency,481945,12,16.15,43762,0.282,Pass
Person 3201,32,Freelance Designer,993657,749,Axis Bank,Home Renovation,1275456,60,9.19,26594,0.321,Pass
Person 3202,35,Freelance Designer,725595,668,State Bank of India,Home Renovation,1837409,60,16.37,45044,0.745,Rejected
Person 3203,40,Software Engineer,1824381,709,Kotak Mahindra Bank,Debt Consolidation,711520,60,18.96,18442,0.121,Rejected
Person 3204,18,University Student,151860,711,State Bank of India,Vehicle Purchase,770265,48,19.91,23403,1.849,Rejected
Person 3205,34,Construction Worker,408228,647,HDFC Bank,Education (Tuition/Fees),1166795,84,20.99,26610,0.782,Rejected
Person 3206,24,University Student,57353,763,State Bank of India,Vehicle Purchase,823784,48,6.21,19426,4.065,Rejected
Person 3207,22,University Student,75526,677,ICICI Bank,Vehicle Purchase,803872,48,14.11,22011,3.497,Rejected
Person 3208,80,Retired (Pension),169807,750,Axis Bank,Wedding Expenses,1555576,48,9.29,38925,2.751,Rejected
Person 3209,37,High School Teacher,683289,705,Kotak Mahindra Bank,Medical Emergency,502938,12,14.7,45323,0.796,Rejected
Person 3210,23,Construction Worker,506548,781,Bajaj Finserv,Education (Tuition/Fees),612049,60,5.86,11793,0.279,Pass
Person 3211,28,Software Engineer,1082197,647,HDFC Bank,Debt Consolidation,898027,72,18.95,20967,0.232,Rejected
Person 3212,49,Construction Worker,348271,645,Bajaj Finserv,Education (Tuition/Fees),431399,48,17.95,12661,0.436,Rejected
Person 3213,30,Software Engineer,1277639,654,Axis Bank,Debt Consolidation,707105,60,26.66,21448,0.201,Rejected
Person 3214,47,Construction Worker,540934,706,State Bank of India,Education (Tuition/Fees),704852,72,10.93,13391,0.297,Pass
Person 3215,52,Doctor,2529960,777,Bajaj Finserv,Debt Consolidation,1124178,72,9.29,20426,0.097,Pass
Person 3216,29,Software Engineer,1360168,779,ICICI Bank,Debt Consolidation,1023896,72,9.4,18660,0.165,Pass
Person 3217,27,Software Engineer,1547786,584,State Bank of India,Debt Consolidation,404189,48,21.26,12573,0.097,Rejected
